City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,61.0,58,100,6.13,NZ,2022-09-19 03:02:30
1,Cachoeirinha,-29.9511,-51.0939,63.97,81,100,4.54,BR,2022-09-19 03:02:30
2,Yumen,40.2833,97.2,72.5,27,57,14.29,CN,2022-09-19 03:02:31
3,Ushuaia,-54.8,-68.3,37.06,70,0,0.0,AR,2022-09-19 02:59:00
4,Albany,42.6001,-73.9662,67.68,94,98,4.79,US,2022-09-19 02:57:40
5,Falun,60.6036,15.626,48.94,85,97,10.18,SE,2022-09-19 03:02:32
6,Alamosa,37.4695,-105.87,60.78,39,20,5.75,US,2022-09-19 03:02:32
7,Busselton,-33.65,115.3333,57.09,80,77,18.84,AU,2022-09-19 03:00:25
8,Sao Miguel Do Araguaia,-13.275,-50.1628,77.63,60,15,2.08,BR,2022-09-19 03:02:33
9,Rikitea,-23.1203,-134.9692,72.32,76,27,18.52,PF,2022-09-19 03:02:33
10,San Policarpo,12.1791,125.5072,87.64,62,100,6.93,PH,2022-09-19 03:02:34
11,Calawag,10.6697,119.5707,86.67,64,100,5.99,PH,2022-09-19 03:02:34
12,Port Hardy,50.6996,-127.4199,53.04,90,99,9.35,CA,2022-09-19 03:02:35
13,Burns Lake,54.2331,-125.7533,48.43,63,5,3.49,CA,2022-09-19 03:00:07
14,Kantunilkin,21.0917,-87.45,74.97,93,0,2.51,MX,2022-09-19 03:02:35
15,Killybegs,54.6333,-8.45,56.16,83,99,4.68,IE,2022-09-19 03:02:36
16,Atuona,-9.8,-139.0333,76.82,76,25,20.2,PF,2022-09-19 03:02:36
17,Chokurdakh,70.6333,147.9167,43.34,44,100,13.98,RU,2022-09-19 03:02:37
18,Vaini,-21.2,-175.2,74.26,79,99,22.55,TO,2022-09-19 03:02:37
19,Maunabo,18.0072,-65.8993,77.9,93,100,25.86,PR,2022-09-19 03:02:38
20,Hofn,64.2539,-15.2082,44.35,74,21,7.54,IS,2022-09-19 03:02:38
21,Tiksi,71.6872,128.8694,36.54,57,90,4.29,RU,2022-09-19 03:02:39
22,Pueblo Nuevo,23.3833,-105.3833,57.45,94,94,3.98,MX,2022-09-19 03:02:39
23,Luanda,-8.8368,13.2343,69.85,93,74,7.34,AO,2022-09-19 03:02:40
24,Chapais,49.7834,-74.8492,39.99,64,45,5.53,CA,2022-09-19 03:02:40
25,Nantai,40.9241,122.8044,62.19,52,0,16.24,CN,2022-09-19 03:02:41
26,Caraballeda,10.6112,-66.8522,80.15,86,54,3.04,VE,2022-09-19 03:02:41
27,Barrow,71.2906,-156.7887,46.42,76,75,8.05,US,2022-09-19 03:02:42
28,Dicabisagan,17.0818,122.4157,84.61,73,69,3.76,PH,2022-09-19 03:02:42
29,Sitka,57.0531,-135.33,52.99,84,81,4.47,US,2022-09-19 03:02:43
30,Hobart,-42.8794,147.3294,61.05,53,75,12.66,AU,2022-09-19 03:00:10
31,Carballo,43.213,-8.691,64.9,76,100,3.65,ES,2022-09-19 03:02:44
32,Bluff,-46.6,168.3333,55.0,70,100,6.22,NZ,2022-09-19 03:02:44
33,Grand Gaube,-20.0064,57.6608,71.38,70,3,5.01,MU,2022-09-19 03:02:45
34,Hermanus,-34.4187,19.2345,49.8,72,95,8.61,ZA,2022-09-19 03:02:45
35,Colwyn Bay,53.2948,-3.7267,54.95,92,95,6.82,GB,2022-09-19 03:02:46
36,Anupgarh,29.1911,73.2086,91.42,29,0,9.08,IN,2022-09-19 03:02:46
37,Puerto Ayora,-0.7393,-90.3518,67.55,89,60,3.0,EC,2022-09-19 03:02:47
38,Oktyabrskoye,43.0645,44.7417,55.54,88,0,4.47,RU,2022-09-19 03:02:47
39,Amalapuram,16.5833,82.0167,74.08,97,100,6.35,IN,2022-09-19 03:02:48
40,Buin,-33.7333,-70.75,53.74,86,60,3.06,CL,2022-09-19 03:02:48
41,Punta Arenas,-53.15,-70.9167,35.11,78,0,2.46,CL,2022-09-19 03:02:49
42,Katsuura,35.1333,140.3,82.18,85,74,19.66,JP,2022-09-19 03:02:49
43,Haimen,23.1935,116.6142,88.84,58,17,4.83,CN,2022-09-19 03:02:50
44,Aleksandrov Gay,50.147,48.5704,67.55,60,52,11.92,RU,2022-09-19 03:03:50
45,Avarua,-21.2078,-159.775,75.25,88,100,3.44,CK,2022-09-19 03:03:51
46,Leshukonskoye,64.8989,45.7622,42.22,98,59,4.92,RU,2022-09-19 03:03:51
47,Fort Saint James,54.4333,-124.25,49.57,56,31,4.14,CA,2022-09-19 03:03:52
48,Alice Springs,-23.7,133.8833,92.75,15,58,21.85,AU,2022-09-19 03:03:52
49,Aklavik,68.2191,-135.0107,48.51,67,99,6.22,CA,2022-09-19 03:03:52
50,Tasiilaq,65.6145,-37.6368,46.56,98,100,3.51,GL,2022-09-19 03:03:53
51,Bonthe,7.5264,-12.505,74.17,89,80,4.63,SL,2022-09-19 03:03:53
52,Pisco,-13.7,-76.2167,60.03,82,6,4.45,PE,2022-09-19 03:03:54
53,Ishigaki,24.3448,124.1572,81.77,70,6,10.13,JP,2022-09-19 03:03:54
54,Klaksvik,62.2266,-6.589,45.52,72,43,11.01,FO,2022-09-19 03:03:54
55,Hami,42.8,93.45,76.01,12,8,5.39,CN,2022-09-19 03:03:55
56,Cape Town,-33.9258,18.4232,54.1,74,29,5.01,ZA,2022-09-19 03:02:55
57,Matagami,49.7502,-77.6328,46.72,49,100,5.86,CA,2022-09-19 03:03:56
58,Calabozo,8.9242,-67.4293,75.38,91,91,1.92,VE,2022-09-19 03:03:56
59,Cayenne,4.9333,-52.3333,78.84,89,75,3.44,GF,2022-09-19 03:03:56
60,Nyurba,63.2842,118.3319,40.57,50,97,6.04,RU,2022-09-19 03:03:57
61,Qaanaaq,77.484,-69.3632,23.18,50,45,8.68,GL,2022-09-19 03:03:57
62,Isabela,6.7085,121.9711,87.8,60,87,5.66,PH,2022-09-19 03:03:58
63,Norman Wells,65.282,-126.8329,47.98,63,100,3.6,CA,2022-09-19 03:03:41
64,Punta Gorda,26.9298,-82.0454,80.01,89,0,8.01,US,2022-09-19 03:03:58
65,Susanville,40.4163,-120.653,60.64,39,20,18.41,US,2022-09-19 03:03:59
66,Constitucion,-35.3333,-72.4167,44.38,77,6,9.35,CL,2022-09-19 03:03:59
67,Bathsheba,13.2167,-59.5167,82.29,79,88,14.61,BB,2022-09-19 03:01:07
68,Sao Joao Da Barra,-21.6403,-41.0511,64.09,78,0,5.88,BR,2022-09-19 03:03:35
69,Carnarvon,-24.8667,113.6333,65.91,58,84,24.67,AU,2022-09-19 03:04:00
70,Kapaa,22.0752,-159.319,84.18,78,79,8.01,US,2022-09-19 03:04:00
71,Fairbanks,64.8378,-147.7164,53.94,59,20,3.44,US,2022-09-19 03:04:01
72,Thompson,55.7435,-97.8558,53.76,100,100,3.44,CA,2022-09-19 03:01:03
73,Kruisfontein,-34.0033,24.7314,54.0,83,100,12.46,ZA,2022-09-19 03:04:01
74,General Roca,-39.0333,-67.5833,41.63,59,93,12.97,AR,2022-09-19 03:04:02
75,Saint-Pierre,-21.3393,55.4781,69.48,60,100,4.61,RE,2022-09-19 03:04:02
76,Makakilo City,21.3469,-158.0858,84.56,60,40,14.97,US,2022-09-19 03:04:03
77,Amzya,56.2354,54.3868,62.1,82,99,10.33,RU,2022-09-19 03:04:03
78,Kodiak,57.79,-152.4072,60.31,72,100,10.36,US,2022-09-19 03:04:04
79,Marystown,47.1666,-55.1483,53.19,63,100,19.42,CA,2022-09-19 03:04:05
80,Lavrentiya,65.5833,-171.0,39.45,80,100,12.15,RU,2022-09-19 03:04:05
81,Scarborough,54.2797,-0.4044,49.66,89,100,1.99,GB,2022-09-19 03:01:13
82,Harper,4.375,-7.7169,75.45,85,24,7.18,LR,2022-09-19 03:04:06
83,The Pas,53.8251,-101.2541,56.05,71,56,4.21,CA,2022-09-19 03:01:03
84,Bredasdorp,-34.5322,20.0403,50.34,85,95,4.07,ZA,2022-09-19 03:04:07
85,Ahipara,-35.1667,173.1667,61.66,91,100,14.52,NZ,2022-09-19 03:04:07
86,Yar-Sale,66.8333,70.8333,45.95,88,100,14.23,RU,2022-09-19 03:03:36
87,Los Llanos De Aridane,28.6585,-17.9182,67.75,87,0,4.0,ES,2022-09-19 03:04:08
88,Lorengau,-2.0226,147.2712,84.11,71,82,7.7,PG,2022-09-19 03:05:08
89,Bethel,41.3712,-73.414,74.48,77,0,5.75,US,2022-09-19 03:04:27
90,Gazanjyk,39.2446,55.5154,71.01,27,0,9.69,TM,2022-09-19 03:05:09
91,Kavaratti,10.5669,72.642,80.67,79,95,10.56,IN,2022-09-19 03:05:10
92,Lompoc,34.6391,-120.4579,67.59,75,100,10.36,US,2022-09-19 03:04:58
